"name","link","rank","draft_year","draft_rd","draft_pk","recruit_year","top","highSchool","coll","draft","rookie","success","highest"
"Al Harrington","/players/h/harrial01.html",1,1998,1,25,1998,1,1,2,1,1,3,"success"
"Rashard Lewis","/players/l/lewisra02.html",2,1998,2,32,1998,1,1,2,1,1,1,"success"
"Korleone Young","/players/y/youngko01.html",3,1998,2,40,1998,1,1,2,0,,,"draft"
"Dan Gadzuric","/players/g/gadzuda01.html",4,2002,2,34,1998,1,1,1,1,0,,"rookie"
"Stromile Swift","/players/s/swiftst01.html",5,2000,1,2,1998,1,1,1,1,1,3,"success"
"Ronald Curry","https://www.sports-reference.com/cbb/players/ronald-curry-1.html",6,,,,1998,1,1,0,,,,"college"
"JaRon Rush","https://www.sports-reference.com/cbb/players/jaron-rush-1.html",7,,,,1998,1,1,0,,,,"college"
"Joel Przybilla","/players/p/przybjo01.html",8,2000,1,9,1998,1,1,1,1,1,3,"success"
"Quentin Richardson","/players/r/richaqu01.html",9,2000,1,18,1998,1,1,1,1,1,2,"success"
"Jason Capel","https://www.sports-reference.com/cbb/players/jason-capel-1.html",10,,,,1998,1,1,0,,,,"college"
"Vincent Yarbrough","/players/y/yarbrvi01.html",11,2002,2,33,1998,1,1,1,0,,,"draft"
"Tayshaun Prince","/players/p/princta01.html",12,2002,1,23,1998,1,1,1,1,1,2,"success"
"Mike Miller","/players/m/millemi01.html",13,2000,1,5,1998,1,1,1,1,1,2,"success"
"Dane Fife","https://www.sports-reference.com/cbb/players/dane-fife-1.html",14,,,,1998,1,1,0,,,,"college"
"Kevin Lyde","https://www.sports-reference.com/cbb/players/kevin-lyde-1.html",14,,,,1998,1,1,0,,,,"college"
"Ray Young","https://www.sports-reference.com/cbb/players/ray-young-1.html",16,,,,1998,1,1,0,,,,"college"
"Corey Maggette","/players/m/maggeco01.html",16,1999,1,13,1998,1,1,1,1,1,2,"success"
"Corey Hightower","",18,,,,1998,1,1,0,,,,"college"
"Keyon Dooling","/players/d/doolike01.html",19,2000,1,10,1998,1,1,1,1,1,4,"success"
"Teddy Dupay","https://www.sports-reference.com/cbb/players/teddy-dupay-1.html",20,,,,1998,1,1,0,,,,"college"
"Frank Williams","/players/w/willifr02.html",21,2002,1,25,1998,1,1,1,0,,,"draft"
"Kris Lang","https://www.sports-reference.com/cbb/players/kris-lang-1.html",22,,,,1998,1,1,0,,,,"college"
"Anthony Glover","https://www.sports-reference.com/cbb/players/anthony-glover-1.html",23,,,,1998,1,1,0,,,,"college"
"Lance Williams","https://www.sports-reference.com/cbb/players/lance-williams-1.html",24,,,,1998,1,1,0,,,,"college"
"Adam Harrington","/players/h/harriad01.html",25,,,,1998,1,1,0,,,,"college"
"Bobby Simmons","/players/s/simmobo01.html",26,2001,2,42,1998,1,1,1,1,1,2,"success"
"Dan Miller","https://www.sports-reference.com/cbb/players/dan-miller-1.html",27,,,,1998,1,1,0,,,,"college"
"Lloyd Price","https://www.sports-reference.com/cbb/players/lloyd-price-1.html",28,,,,1998,1,1,0,,,,"college"
"Michael Wright","https://www.sports-reference.com/cbb/players/michael-wright-1.html",29,,,,1998,1,1,0,,,,"college"
"Erick Barkley","/players/b/barkler01.html",29,2000,1,28,1998,1,1,1,0,,,"draft"
"Jules Camara","https://www.sports-reference.com/cbb/players/jules-camara-1.html",31,,,,1998,1,1,0,,,,"college"
"Antonio Latimer","",32,,,,1998,1,0,,,,,"highSchool"
"Robert Jackson","https://www.sports-reference.com/cbb/players/robert-jackson-1.html",33,,,,1998,1,1,0,,,,"college"
